# STALE: scores predate the weighting correction of 2026-08-25. Physical
# columns are unaffected. Regenerate with:
#   pvdlowe series --dielectric Si3N4 --mixing ema -o out.csv
# (168 geometry-optimised points, about 13 minutes)
mixing_model,dielectric,Ag_fraction,metal_nm,bottom_nm,top_nm,T_vis,T_sol,emissivity_h,R_sheet,g_value,LSG,U_g,Ag_g_per_m2,cost_usd_per_m2,score,limiting,meets_spec,profile
solid_solution,AZO,0.65,12.0,59.0,48.0,0.8008,0.5086,0.0681,5.0,0.572,1.4,1.201,0.0918,0.75,57.2,Ag_g_per_m2,True,cooling
solid_solution,AZO,0.7,12.0,59.0,48.0,0.8057,0.5115,0.0668,4.87,0.573,1.41,1.197,0.0972,0.793,56.5,Ag_g_per_m2,True,cooling
solid_solution,AZO,0.75,12.0,59.0,48.0,0.8108,0.5147,0.0652,4.7,0.575,1.41,1.191,0.1023,0.835,55.8,Ag_g_per_m2,True,cooling
solid_solution,AZO,0.8,11.0,59.0,48.0,0.8291,0.5418,0.0692,5.0,0.6,1.38,1.204,0.0984,0.803,55.1,Ag_g_per_m2,False,cooling
solid_solution,AZO,0.85,11.0,59.0,48.0,0.8345,0.5453,0.0666,4.73,0.602,1.39,1.196,0.1029,0.839,54.6,Ag_g_per_m2,True,cooling
solid_solution,AZO,0.9,11.0,59.0,48.0,0.8401,0.5491,0.0635,4.39,0.604,1.39,1.186,0.1072,0.873,54.1,Ag_g_per_m2,True,cooling
solid_solution,AZO,0.95,11.0,48.0,37.0,0.852,0.5664,0.0581,4.07,0.612,1.39,1.168,0.1113,0.907,53.7,Ag_g_per_m2,True,cooling
solid_solution,AZO,1.0,10.0,15.0,26.0,0.8664,0.6024,0.0591,4.28,0.635,1.36,1.172,0.1049,0.854,53.5,Ag_g_per_m2,True,cooling
solid_solution,Si3N4,0.0,15.0,48.0,37.0,0.7814,0.5485,0.0305,2.16,0.603,1.3,1.077,0.0,0.011,67.6,LSG,False,cooling
solid_solution,Si3N4,0.05,15.0,48.0,37.0,0.7854,0.5502,0.0351,2.56,0.604,1.3,1.093,0.0112,0.101,66.5,LSG,False,cooling
solid_solution,Si3N4,0.1,15.0,48.0,37.0,0.7896,0.5522,0.0392,2.92,0.606,1.3,1.106,0.0218,0.187,65.4,LSG,False,cooling
solid_solution,Si3N4,0.15,15.0,48.0,37.0,0.7941,0.5544,0.0427,3.24,0.608,1.31,1.118,0.0321,0.27,64.3,LSG,False,cooling
solid_solution,Si3N4,0.2,15.0,48.0,37.0,0.7988,0.5569,0.0457,3.52,0.609,1.31,1.128,0.0419,0.349,63.2,LSG,False,cooling
solid_solution,Si3N4,0.25,15.0,48.0,37.0,0.8038,0.5596,0.0482,3.75,0.611,1.32,1.136,0.0513,0.425,62.2,LSG,True,cooling
